20230515 13:30:00,8.110001,8.28,7.9,8.1225,35602400
20230516 13:30:00,8.155001,8.155001,7.82,7.985,33815300
20230517 13:30:00,8.005,8.05,7.79,7.922501,33411500
20230518 13:30:00,7.925,8.03,7.73,7.88,46481500
20230519 13:30:00,7.88,8.14,7.85,7.99,41334500
20230522 13:30:00,7.985,8.85,7.985,8.5325,73546900
20230523 13:30:00,8.52,8.85,8.52,8.7075,38540000
20230524 13:30:00,8.695,8.695,7.72,7.9975,84695800
20230525 13:30:00,8.030001,8.030001,7.51,7.6925,48702800
20230526 13:30:00,7.7,7.84,7.54,7.705,42967900
20230530 13:30:00,7.72,7.92,7.35,7.62,63374800
20230531 13:30:00,7.605,7.605,7.15,7.415,89228300
20230601 13:30:00,7.485,7.64,7,7.355,74201600
20230602 13:30:00,7.39,7.99,7.39,7.7375,62262000
20230605 13:30:00,7.7,7.9,7.6,7.7075,36819200
20230606 13:30:00,7.665,7.88,7.3,7.68,79001900
20230607 13:30:00,7.77,7.97,7.58,7.7775,47289100
20230608 13:30:00,7.78,7.89,7.6,7.77,64405800
20230609 13:30:00,7.795,8.75,7.69,8.0025,140075100
20230612 13:30:00,7.785,8.6,7.785,8.29,100608600
20230613 13:30:00,8.245,9.07,8.245,8.8225,81692800
20230614 13:30:00,8.809999,9.19,8.8,9.027499,60867200
20230615 13:30:00,9.059999,9.9,9.05,9.46,97116500
20230616 13:30:00,9.445,10.21,9.35,9.7775,81163500
20230620 13:30:00,9.775,9.775,9.06,9.2475,52866000
20230621 13:30:00,9.26,9.84,8.96,9.3525,66266600
20230622 13:30:00,9.305,9.305,8.74,8.93,28909900
20230623 13:30:00,8.975,8.975,8.28,8.52,41703800
20230626 13:30:00,8.525,8.69,8.4,8.504999,33684100
20230627 13:30:00,8.465,9.34,8.465,9.015,73607600
20230628 13:30:00,9.030001,9.56,9.030001,9.415,44832900
20230629 13:30:00,9.46,9.51,9.25,9.387501,38589900
20230630 13:30:00,9.395,10.09,9.395,9.75,63256300
20230703 13:30:00,9.66,10.49,9.66,10.115,68989300
20230705 13:30:00,10.09,10.39,9.81,10.1075,62900500
20230706 13:30:00,10.115,10.115,9.49,9.7575,52767400
20230707 13:30:00,9.765,10.09,9.66,9.872499,50863200
20230710 13:30:00,9.87,10.83,9.79,10.3425,84529600
20230711 13:30:00,10.375,11.05,10.375,10.815,69547500
20230712 13:30:00,10.885,11.22,10.71,11.0275,61266100
20230713 13:30:00,11.09,11.32,10.72,11.01,60022500
20230714 13:30:00,11,11,10.46,10.6275,40097600
20230717 13:30:00,10.605,10.63,10.21,10.425,28845700
20230718 13:30:00,10.43,10.83,10.27,10.5625,35151600
20230719 13:30:00,10.575,11.1,10.575,10.725,51786900
